date,id,tair,tmax,tmin,tw
08-01,82024,-3.1352459016393404,2.330769230769242,-1.3999999999999986,-1.4828828828828797
08-01,82098,1.862639821029088,1.2240000000000002,2.9680000000000035,0.9832214765100673
08-01,82106,-0.2563291139240462,0.10370370370370097,0.8924528301886845,1.4554794520547922
08-01,82141,1.204618473895568,0.6660377358490521,3.034615384615389,0.761077844311373
08-01,82145,0.7893678160919535,1.067499999999992,1.7883720930232556,0.6330459770114985
08-01,82178,2.344020356234097,,2.521739130434785,1.5091145833333286
08-01,82181,0.580370370370364,1.1133333333333333,3.280000000000001,1.6559701492537329
08-01,82184,1.7267156862745132,1.0615384615384542,1.5312499999999964,0.568137254901945
08-01,82188,0.9455284552845562,1.2641025641025578,1.4589743589743662,0.22520325203250025
08-01,82191,1.4247967479674948,2.1854545454545544,1.5648148148148096,
08-01,82198,0.9549549549549639,1.2536585365853696,0.4769230769230788,0.6468468468468487
08-01,82212,-0.7173515981735328,-2.3102564102564074,1.1641025641025706,0.4900763358778555
08-01,82246,1.3404255319148746,1.8108695652173878,1.7170212765957444,1.4241134751773181
08-01,82263,1.304428904428903,0.46666666666667567,2.497777777777781,1.179254079254079
08-01,82280,2.4814516129032356,1.7199999999999953,1.8568627450980415,1.6395161290322697
08-01,82317,2.338636363636361,2.2731707317073173,2.347619047619048,2.557500000000001
08-01,82326,-0.7567796610169353,-0.21666666666666856,1.6777777777777807,
08-01,82331,1.98662790697675,1.605454545454542,2.232727272727278,0.3668789808917303
08-01,82336,1.829365079365079,-0.21249999999999858,1.4552631578947377,0.6215339233038364
08-01,82353,1.699319727891151,1.967307692307692,0.8288461538461505,0.8826484018264686
08-01,82361,2.769696969696973,3.509756097560988,-1.6951219512195088,0.9317829457364333
08-01,82376,0.7771186440677909,0.8243902439024424,1.557142857142857,0.9283185840707908
08-01,82382,0.7905604719764092,1.1499999999999915,1.7078947368421034,1.2955752212389342
08-01,82392,0.15370370370369102,1.404878048780489,0.02325581395349019,
08-01,82397,-0.3338461538461601,0.3152173913043548,1.1520833333333336,
08-01,82410,0.5120967741935694,1.6521739130434767,2.4680851063829827,2.0663793103448214
08-01,82445,1.708917197452248,1.6119999999999806,2.0779999999999994,0.829087048832271
08-01,82460,-0.21481481481481524,-1.0249999999999986,,0.6988095238095262
08-01,82476,1.2030303030303067,1.1422222222222231,4.571428571428573,2.878787878787879
08-01,82487,0.5626984126984098,0.45681818181818556,0.6477272727272698,
08-01,82533,1.090579710144926,0.09999999999999432,1.439024390243901,0.7031249999999929
08-01,82562,1.868447837150125,2.5093023255813947,-0.6476190476190453,-0.6999999999999957
08-01,82571,1.7984375000000057,,3.817391304347826,2.217447916666675
08-01,82578,-2.9543689320388253,,2.31944444444445,
08-01,82586,1.745299145299139,1.7743589743589823,1.3463414634146353,
08-01,82588,-1.1126865671641823,1.5080000000000027,-0.03673469387754835,
08-01,82590,1.063265306122453,1.376190476190466,7.105427357601002e-15,
08-01,82596,-0.5106382978723438,0.31388888888888644,1.4432432432432378,
08-01,82598,-0.36927083333333144,-0.6909090909090843,1.4976744186046496,
08-01,82610,1.3754716981132127,1.6387096774193566,1.2374999999999972,
08-01,82659,0.19191919191918316,0.28787878787878896,0.3939393939393945,
08-01,82668,1.560204081632655,,0.5484848484848541,0.18095238095238386
08-01,82676,0.9072463768115924,1.4699999999999989,-0.504999999999999,1.8736263736263723
08-01,82678,1.756589147286828,1.529032258064511,2.5156249999999964,
08-01,82683,1.1223529411764765,0.841025641025638,0.3210526315789437,
08-01,82686,2.2883928571428633,,2.8302325581395387,
08-01,82689,1.2379629629629498,1.5069767441860478,0.5795454545454533,
08-01,82693,-1.412751677852345,0.7941176470588189,0.7681818181818194,
08-01,82723,-0.7589285714285836,1.8633333333333297,0.9805555555555578,
08-01,82753,1.537500000000012,1.4393939393939341,1.3656250000000014,
08-01,82765,1.191666666666677,2.0260869565217305,1.7115384615384635,
08-01,82768,2.3095238095238066,2.462500000000013,0.8210526315789473,5.14707903780069
08-01,82780,-0.19523809523809277,1.6800000000000068,1.832499999999996,
08-01,82792,1.546610169491533,0.43333333333332646,-0.11951219512195088,
08-01,82795,-1.1474576271186407,-0.12857142857142279,0.49024390243902616,
08-01,82797,-0.02910447761194135,0.32340425531915074,0.5888888888888921,
08-01,82798,0.7287671232876569,1.9521739130434739,-0.4521739130434739,
08-01,82807,1.5274074074073987,1.6595238095237974,9.905263157894733,
08-01,82861,3.7942528735632095,3.473684210526315,2.4350877192982487,1.4540229885057592
08-01,82863,1.925396825396831,2.5150000000000006,1.324390243902446,
08-01,82882,-0.49718309859154886,1.116129032258062,-0.06896551724137012,
08-01,82886,-1.7391666666666623,1.2951219512195102,1.9454545454545489,
08-01,82890,-0.012499999999995737,2.74523809523809,-0.9238095238095223,
08-01,82893,-0.08699186991869823,,,
08-01,82900,0.6126232741617343,0.9965517241379303,-1.15172413793103,
08-01,82915,1.2419047619047667,3.2976744186046574,0.6111111111111143,0.15555555555554434
08-01,82975,1.6653846153846104,,2.12857142857143,
08-01,82976,3.979710144927523,,-1.2208333333333332,
08-01,82979,1.4643410852713288,1.6711111111111059,,
08-01,82983,1.2421487603305792,1.2272727272727266,0.7131578947368382,
