date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws
08-01,82024,6.2195121951219505,27.235245901639342,24.88288288288288,32.06923076923076,23.4,82.65346534653466,1001.7162162162163,1012.1,10.176470588235293,1.075545901639344,5.175,5.283333333333334,2.597142857142858,84.05147058823529,1.0256904146341463
08-01,82042,4.133333333333334,26.85816326530612,24.436144578313247,32.00344827586207,22.071875000000006,83.88157894736842,,,3.5789473684210527,0.44515520000000003,5.859999999999999,5.754639175257733,2.3454545454545452,83.84,0.46779926470588234
08-01,82098,3.7163265306122453,28.204026845637575,25.416778523489935,31.976000000000003,23.631999999999998,79.3206106870229,1010.5185714285719,1012.2166666666667,5.694656488549619,1.385906040268457,8.237499999999999,4.687162162162163,2.7653061224489797,81.76136363636364,1.2906666400000006
08-01,82106,4.888888888888889,25.806329113924043,24.044520547945208,30.796296296296298,21.407547169811316,87.30708661417323,1003.0877358490563,1007.0,9.503937007874017,1.180905477707006,4.656250000000001,5.43125,1.298,88.73837209302326,1.1825919811320755
08-01,82113,6.386538461538462,26.63800000000001,24.857746478873242,32.081999999999994,21.821568627450983,86.4390243902439,999.2486111111108,,13.333333333333334,1.2769554666666667,6.700000000000001,3.5633333333333335,1.8473684210526313,87.19186046511628,1.2668587307692303
08-01,82141,4.42909090909091,28.562048192771098,25.538922155688628,31.333962264150948,24.36538461538461,77.65771812080537,1011.978523489933,1012.652083333333,7.8561643835616435,2.2439024390243945,9.070909090909092,2.9862275449101796,2.694444444444445,79.305,2.241212109090909
08-01,82145,3.2288888888888896,27.343965517241383,25.03362068965517,31.53250000000001,20.511627906976745,83.17241379310344,1008.4460784313728,1012.6840909090912,7.422680412371134,1.1917525773195872,8.190909090909091,4.073770491803279,2.1395348837209296,85.65384615384616,1.1929293030303025
08-01,82178,0.8386363636363636,27.989312977099235,25.224218750000006,32.05217391304348,22.878260869565214,79.9327731092437,1005.6815217391309,1008.855172413793,8.53781512605042,1.7964036641221373,8.256410256410257,4.192748091603053,3.409090909090909,80.75595238095238,1.702487869565217
08-01,82181,1.7511111111111113,27.869629629629635,23.644029850746264,31.286666666666665,23.119999999999997,69.08403361344538,1000.3617647058827,1014.9520833333336,6.7155172413793105,3.307575757575761,8.465853658536588,3.4744444444444444,3.664444444444444,70.5875,3.2628788409090914
08-01,82184,1.5176470588235293,28.206617647058824,25.798529411764726,32.338461538461544,23.168750000000003,82.65040650406505,1011.3934959349593,1013.0456521739127,12.014285714285714,0.7196078431372545,8.4475,3.669281045751634,2.5534883720930233,83.85119047619048,0.6445513076923077
